Week,Quotes
1,"The only way to do great work is to love what you do. - Steve Jobs"
2,"In the middle of every difficulty lies opportunity. - Albert Einstein"
3,"Your time is limited, don't waste it living someone else's life. - Steve Jobs"
4,"The future belongs to those who believe in the beauty of their dreams. - Eleanor Roosevelt"
5,"Success is not final, failure is not fatal: It is the courage to continue that counts. - Winston Churchill"
6,"Don't watch the clock; do what it does. Keep going. - Sam Levenson"
7,"Believe you can and you're halfway there. - Theodore Roosevelt"
8,"Strive not to be a success, but rather to be of value. - Albert Einstein"
9,"The only limit to our realization of tomorrow will be our doubts of today. - Franklin D. Roosevelt"
10,"You are never too old to set another goal or to dream a new dream. - C.S. Lewis"
11,"The journey of a thousand miles begins with one step. - Lao Tzu"
12,"Success usually comes to those who are too busy to be looking for it. - Henry David Thoreau"
13,"The only place where success comes before work is in the dictionary. - Vidal Sassoon"
14,"Do not wait to strike till the iron is hot, but make it hot by striking. - William Butler Yeats"
15,"The best revenge is massive success. - Frank Sinatra"
16,"Do not be embarrassed by your failures, learn from them and start again. - Richard Branson"
17,"Your work is going to fill a large part of your life, and the only way to be truly satisfied is to do what you believe is great work. - Steve Jobs"
18,"Success is stumbling from failure to failure with no loss of enthusiasm. - Winston Churchill"
19,"The only thing standing between you and your goal is the story you keep telling yourself as to why you can't achieve it. - Jordan Belfort"
20,"The harder I work, the luckier I get. - Samuel Goldwyn"
